%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2208,402334.4,45.83519357,-110.9325619,2298.9134,1,9,0.0055,0.0047,0.011,0.002,0.0048,0.0017,-0.6,336.2
2208,402334.6,45.83519027,-110.9325712,2298.9163,1,8,0.0055,0.0047,0.011,0.002,0.0048,0.0016,-0.4,335.6
2208,402334.8,45.83518698,-110.9325805,2298.9104,1,8,0.0055,0.0048,0.011,0.0019,0.0048,0.0016,-0.2,335.1
2208,402335,45.83518365,-110.9325898,2298.9031,1,8,0.0056,0.0048,0.0112,0.0019,0.0049,0.0016,0,334.7
2208,402335.2,45.83518036,-110.932599,2298.9042,1,8,0.0072,0.0064,0.0151,0.0023,0.007,0.004,-4.8,334.3
2208,402335.4,45.83517708,-110.9326082,2298.9019,1,8,0.0071,0.0063,0.0148,0.0022,0.0069,0.0038,-4.6,333.9
2208,402335.6,45.83517383,-110.9326174,2298.8954,1,8,0.007,0.0063,0.0146,0.0021,0.0069,0.0037,-4.4,333.3
2208,402335.8,45.83517056,-110.9326266,2298.9042,1,8,0.0069,0.0063,0.0145,0.002,0.0069,0.0034,-4.2,333
2208,402336,45.83516754,-110.9326356,2298.9001,1,8,0.0068,0.0065,0.0144,0.0016,0.0071,0.003,-4,332.6
2208,402336.2,45.8351647,-110.9326436,2298.9013,1,8,0.0068,0.0067,0.0144,0.0008,0.0073,0.0024,-3.8,332.3
2208,402336.4,45.83516239,-110.9326502,2298.8986,1,8,0.0067,0.0066,0.0141,0.0008,0.0072,0.0022,-3.6,331.8
2208,402336.6,45.83516106,-110.9326556,2298.9013,1,8,0.0066,0.0065,0.0139,0.0009,0.007,0.0021,-3.4,331.3
2208,402336.8,45.83516083,-110.9326601,2298.9034,1,8,0.0065,0.0064,0.0136,0.0009,0.0069,0.0019,-3.2,331
2208,402337,45.83516179,-110.9326639,2298.8984,1,8,0.0064,0.0062,0.0134,0.0009,0.0067,0.0017,-3,330.6
2208,402337.2,45.83516395,-110.9326671,2298.8949,1,8,0.0063,0.0061,0.0132,0.0009,0.0066,0.0016,-2.8,330.2
2208,402337.4,45.8351672,-110.9326698,2298.8857,1,8,0.0062,0.006,0.013,0.0009,0.0065,0.0014,-2.6,329.9
