%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328449.2,45.83293362,-110.937436,2537.9717,1,8,0.019,0.0156,0.0363,-0.0095,0.0164,-0.013,-20.8,999.9
2185,328449.4,45.83293668,-110.9374302,2537.5538,1,8,0.0189,0.0155,0.036,-0.0094,0.0163,-0.0129,-20.6,999.9
2185,328449.6,45.83293977,-110.9374244,2537.1315,1,8,0.0187,0.0154,0.0357,-0.0093,0.0161,-0.0128,-20.4,999.9
2185,328449.8,45.83294283,-110.9374186,2536.7155,1,8,0.0186,0.0152,0.0354,-0.0093,0.016,-0.0127,-20.2,999.9
2185,328450,45.83294589,-110.9374128,2536.2939,1,8,0.0184,0.0151,0.0351,-0.0092,0.0159,-0.0126,-20,999.9
2185,328450.2,45.83294896,-110.937407,2535.869,1,8,0.0183,0.015,0.0348,-0.0091,0.0157,-0.0125,-19.8,999.9
2185,328450.4,45.83295207,-110.9374011,2535.4432,1,8,0.0181,0.0148,0.0345,-0.009,0.0156,-0.0124,-19.6,999.9
2185,328450.6,45.83295513,-110.9373952,2535.0184,1,8,0.018,0.0147,0.0342,-0.0089,0.0155,-0.0123,-19.4,999.9
2185,328450.8,45.83295821,-110.9373893,2534.5908,1,8,0.0178,0.0146,0.0339,-0.0089,0.0153,-0.0123,-19.2,999.9
2185,328451,45.83296122,-110.9373833,2534.1662,1,8,0.0177,0.0144,0.0337,-0.0088,0.0152,-0.0122,-19,999.9
2185,328451.2,45.83296431,-110.9373774,2533.7418,1,8,0.0175,0.0143,0.0334,-0.0087,0.015,-0.0121,-18.8,999.9
2185,328451.4,45.83296739,-110.9373716,2533.3248,1,8,0.0174,0.0142,0.0331,-0.0086,0.0149,-0.012,-18.6,999.9
2185,328451.6,45.83297057,-110.9373658,2532.8947,1,8,0.0172,0.0141,0.0328,-0.0086,0.0148,-0.0119,-18.4,999.9
2185,328451.8,45.83297362,-110.93736,2532.4773,1,8,0.0171,0.0139,0.0325,-0.0085,0.0146,-0.0118,-18.2,999.9
2185,328452,45.83297664,-110.9373544,2532.049,1,8,0.0169,0.0138,0.0322,-0.0084,0.0145,-0.0117,-18,999.9
2185,328452.2,45.83297964,-110.937349,2531.6226,1,8,0.0168,0.0137,0.0319,-0.0083,0.0143,-0.0116,-17.8,999.9
2185,328452.4,45.83298269,-110.9373438,2531.1925,1,8,0.0166,0.0135,0.0316,-0.0082,0.0142,-0.0115,-17.6,999.9
2185,328452.6,45.83298576,-110.9373384,2530.7637,1,8,0.0165,0.0134,0.0313,-0.0082,0.0141,-0.0114,-17.4,999.9
2185,328452.8,45.83298884,-110.9373328,2530.3394,1,8,0.0163,0.0133,0.031,-0.0081,0.0139,-0.0113,-17.2,999.9
2185,328453,45.83299196,-110.9373273,2529.9179,1,8,0.0162,0.0131,0.0307,-0.008,0.0138,-0.0112,-17,999.9
2185,328453.2,45.83299511,-110.9373221,2529.499,1,8,0.016,0.013,0.0304,-0.0079,0.0137,-0.0111,-16.8,999.9
2185,328453.4,45.83299812,-110.9373167,2529.0838,1,8,0.0159,0.0129,0.0301,-0.0079,0.0135,-0.011,-16.6,999.9
2185,328453.6,45.83300113,-110.9373111,2528.6658,1,8,0.0157,0.0127,0.0298,-0.0078,0.0134,-0.0109,-16.4,999.9
